	T89-1	T89-2	250-5	250-8	250-13
Potri.001G046900.0	17	25	20	12	42
Potri.001G047000.0	2	6	3	1	0
Potri.001G047100.0	210	281	108	101	228
Potri.001G047200.0	75	93	47	35	85
Potri.001G047300.0	3	11	2	1	7
Potri.001G047400.0	101	84	40	25	59
Potri.001G047500.0	61	96	49	40	81
Potri.001G047600.0	22	24	16	8	7
Potri.001G047700.0	3	2	2	0	1
Potri.001G047800.0	29	32	15	25	33
Potri.001G047900.0	91	138	62	48	139
Potri.001G048000.0	0	0	0	0	0
Potri.001G048100.0	35	35	11	11	32
Potri.001G048200.0	2	3	3	0	1
Potri.001G048300.0	3	4	1	0	0
Potri.001G048400.0	0	0	0	0	0
Potri.001G048500.0	9	9	6	3	6
Potri.001G048600.0	0	0	0	0	0
Potri.001G048700.0	31	58	34	27	55
Potri.001G048800.0	26	46	19	19	52
Potri.001G048900.0	24	39	16	7	2
Potri.001G049000.0	2	1	0	3	1
Potri.001G049100.0	14	11	9	9	24
Potri.001G049200.0	28	25	23	15	36
Potri.001G049300.0	3	8	8	2	3
Potri.001G049400.0	285	375	254	139	350
Potri.001G049500.0	0	0	0	0	0
Potri.001G049600.0	3	7	2	0	1
Potri.001G049700.0	2	1	1	0	0
Potri.001G049800.0	295	432	264	143	295
Potri.001G049900.0	36	39	32	23	52
Potri.001G050000.0	104	123	68	43	104
Potri.001G050100.0	1	3	3	1	6
Potri.001G050200.0	0	0	0	0	0
Potri.001G050300.0	17	20	10	11	22
Potri.001G050400.0	414	495	199	199	425
Potri.001G050500.0	1	3	2	1	3
Potri.001G050600.0	287	98	90	73	169
Potri.001G050700.0	70	89	69	29	73
Potri.001G050800.0	0	3	0	0	1
Potri.001G050900.0	2	3	0	1	1
Potri.001G051000.0	11	8	6	2	5
Potri.001G051100.0	0	0	0	0	0
Potri.001G051200.0	156	187	111	74	187
Potri.001G051300.0	4	4	3	1	5
Potri.001G051400.0	147	210	110	52	159
Potri.001G051500.0	1	1	10	0	2
Potri.001G051600.0	3	3	25	0	1
Potri.001G051700.0	16	15	11	1	10
Potri.001G051800.0	40	50	39	29	63
Potri.001G051900.0	1149	1240	925	558	1190
Potri.001G052000.0	3	0	3	0	1
Potri.001G052100.0	993	1160	603	511	1029
Potri.001G052200.0	0	0	0	0	0
Potri.001G052300.0	228	291	216	208	374
Potri.001G052400.0	23	22	25	3	20
Potri.001G052500.0	10	33	10	2	14
Potri.001G052600.0	0	0	0	0	0
Potri.001G052700.0	0	0	0	0	0
Potri.001G052800.0	0	0	0	0	0
Potri.001G052900.0	0	0	0	0	0
Potri.001G053000.0	58	93	27	21	38
Potri.001G053100.0	0	0	0	0	0
Potri.001G053200.0	0	0	0	0	0
Potri.001G053300.0	0	0	0	0	0
Potri.001G053400.0	290	349	249	140	386
Potri.001G053500.0	25	38	30	25	54
Potri.001G053600.0	33	70	38	34	67
Potri.001G053700.0	4	1	1	5	5
Potri.001G053800.0	186	230	154	90	172
Potri.001G053900.0	8	1	1	0	5
Potri.001G054000.0	17	6	2	5	5
Potri.001G054100.0	0	0	0	0	0
Potri.001G054200.0	0	0	0	0	0
