OTU	SHA1	Superkingdom	Phylum	Class	Order	Family	Genus	Species
589	74ad7c9377bbb74849e40752e273df2e1fe4bf1d	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Pyrenophora	Pyrenophora_tritici-repentis
590	752c14e08a092870946de159213425b12e3ef130	Fungi	Ascomycota	unidentified	unidentified	unidentified	unidentified	unidentified
591	7542b9ceaca308e1c1734f34806b6e0246f3aa05	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Microcera	Microcera_rubra
592	75558d0849a3d9a469eb631c67dc38b1881d27b3	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Claussenomyces	unidentified
593	7567be9f61aa228e7e43362d15c3219f652960a8	Fungi	Ascomycota	Lecanoromycetes	Lecanorales	Lecanoraceae	unidentified	unidentified
594	75a3933d41c9109c50805c026e7fe61f50d05f47	Fungi	Ascomycota	Leotiomycetes	Helotiales	unidentified	unidentified	unidentified
595	75ed8ecc51bc675678f8bf801d74f0b48434eeb7	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Teratosphaeriaceae	Devriesia	Devriesia_americana
596	76012ff622440ea0b6ffdc8e8eaf2fe8df6e4508	Fungi	Ascomycota	Dothideomycetes	unidentified	unidentified	unidentified	unidentified
597	762c4a43c417a5cac4c9298a44aa2c088b8f99be	Fungi	Ascomycota	Leotiomycetes	Helotiales	unidentified	unidentified	unidentified
598	767ad325c5e7162e8c884ab2cb845a45cc63fc51	Fungi	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolaceae	Rhodosporidiobolus	Rhodosporidiobolus_colostri
599	76b5b96cb4bece10fadaa0c4172063358f03546f	Fungi	Ascomycota	Dothideomycetes	Pleosporales	unidentified	unidentified	unidentified
600	76bd96faf101e954b3a670f7291ebbfdb7722062	Fungi	Ascomycota	Dothideomycetes	Pleosporales	unidentified	unidentified	unidentified
601	77036abe19fc83ff2ed43dfe22a44b780f6f76f6	Fungi	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
602	771988fe694445d5584674e030bd164f8bfc274a	Fungi	Ascomycota	Dothideomycetes	Pleosporales	unidentified	unidentified	unidentified
603	776be87c2994a79c5bc6bea64874224dca022d6d	Fungi	Ascomycota	Dothideomycetes	Pleosporales	unidentified	unidentified	unidentified
604	779270f523c2d871a73c45abd126692a8725b301	Fungi	Ascomycota	Dothideomycetes	Pleosporales	unidentified	unidentified	unidentified
605	779b97cb0693f5f92a6c156a0f7965ef6b30a206	Fungi	Ascomycota	Dothideomycetes	Pleosporales	unidentified	unidentified	unidentified
606	780a020fd1f31eeafad9f324b3dd11332de5cc23	Fungi	Ascomycota	unidentified	unidentified	unidentified	unidentified	unidentified
607	78114cb95a9dd8a226843e040e082a96b37da3e9	Fungi	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
608	7845e259626dd6a6bde3eb9d43679e1c8dcc555a	Fungi	Ascomycota	Leotiomycetes	Helotiales	unidentified	unidentified	unidentified
609	7885ba69b9ea979aa17736c9d1899ca2431e70fe	Fungi	Ascomycota	Dothideomycetes	Pleosporales	unidentified	unidentified	unidentified
