ID	3.1-4.2_2.76.1	3.1-4.2_2.76.2	3.1-4.2_2.76.3	3.1-4.2_2.05.1	3.1-4.2_2.05.2	3.1-4.2_2.05.3	2.42.1_MERGED	2.42.2_MERGED	2.42.3_MERGED	2.24.4_MERGED	2.24.5_MERGED	2.24.6_MERGED	3.1-4.2_2.14.1	3.1-4.2_2.14.2	3.1-4.2_2.14.3	2.29.4_MERGED	3.2-4.1_2.28.1	3.2-4.1_2.32.1	3.2-4.1_2.30.1	3.2-4.1_2.33.1	3.2-4.1_2.31.1	2.27.4_MERGED	2.27.5_MERGED	2.27.6_MERGED	3.1-4.2_2.03.1	3.1-4.2_2.03.2	3.1-4.2_2.03.3	2.16.1_MERGED	2.16.2_MERGED	2.16.3_MERGED	2.45.1_MERGED	2.45.2_MERGED	2.45.3_MERGED	2.46.1_MERGED	2.46.2_MERGED	2.46.3_MERGED	2.41.1_MERGED	2.41.2_MERGED	2.41.3_MERGED	2.48.4_MERGED	2.48.5_MERGED	2.48.6_MERGED
318	35	26	43	0	45	67	0	2	0	12	5	9	0	3	0	0	0	0	0	0	0	0	0	2	4	1	0	2	8	2	24	22	16	11	7	7	3	1	1	0	1	1
319	1	0	0	0	1	2	1	2	0	1	0	0	0	1	2	0	0	0	0	0	0	0	1	0	24	18	16	4	3	3	14	6	7	2	4	4	9	10	4	5	5	12
320	3	1	1	0	18	39	0	0	0	21	16	12	0	0	0	0	0	0	0	0	0	3	0	2	2	1	2	0	0	5	1	1	1	2	0	0	0	0	0	0	0	0
321	3	0	1	0	4	1	1	0	0	2	1	5	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	5	21	8	27	13	16	48	44	20	0	0	0	0	0	1
322	0	0	0	0	1	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	1	1	0	0	2	5	2	3	10	11	4	0	0	0	0	0	0
323	0	0	0	0	0	0	0	0	0	1	0	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	158	0	19	0	1	0	0	0	0	0	0	0	1	0	0
324	6	0	1	0	1	3	0	1	0	3	5	1	1	3	4	0	0	0	0	0	0	1	0	0	1	2	3	15	17	11	264	135	80	21	16	13	1	3	2	3	3	3
325	0	1	1	12	30	45	0	0	0	0	0	2	0	1	0	0	1	0	0	1	615	22	16	16	0	0	0	2	1	0	0	4	1	0	1	0	7	1	1	7	0	1
326	2	0	0	1	4	7	1	3	0	4	1	3	0	1	2	1	3	0	0	0	0	8	6	5	1	2	2	5	15	18	8	6	20	8	5	4	7	5	3	2	11	11
327	0	0	0	0	3	3	0	0	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	10	0	6	1	1	1	1	1	2	1	1	0	0	1	0	0	0	0
328	1	0	1	0	1	1	1	1	7	0	4	0	0	4	3	0	0	0	0	0	0	0	0	0	0	0	1	100	108	124	12	18	19	112	106	70	0	2	38	1	7	5
329	1	0	3	0	3	2	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	2	18	15	18	112	101	53	1	0	1	0	0	0
330	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	2	0	1	123	194	0	2	2	2	9	16	1	1	0	1	1	0	1
331	1	0	0	0	0	0	0	0	0	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	57	31	18	3	8	2	1	0	0	0	1	1
332	19	6	10	1	78	56	0	0	0	64	22	49	0	2	0	0	0	0	0	0	0	2	3	0	1	0	2	0	0	1	2	1	0	0	0	0	0	0	0	0	0	0
333	0	1	0	0	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	3	1	1	2	0	1	1	159	271	128	7	15	19
334	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	6	0	0	0	0	0	1	83	64	27	0	6	0	0	0	1	0	0	0
335	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	164	229	37	37	78	47	5	7	7	3	3	1	0	1	0
336	0	2	0	0	0	3	0	0	0	0	1	0	0	1	0	0	1	1	0	3	3	1	0	0	0	0	0	10	8	496	6	1	13	19	12	1	0	0	0	0	0	2
337	0	1	1	0	10	20	0	2	3	15	2	5	2	0	0	0	0	0	0	0	0	0	0	0	37	20	36	9	12	16	66	42	57	13	12	6	2	1	5	0	3	8
338	0	0	0	1	90	91	0	0	0	7	4	4	0	1	0	0	0	1	2	0	1	0	1	2	0	0	0	1	12	2	8	2	4	3	4	3	4	3	0	1	0	0
339	2	1	0	0	0	0	1	3	2	2	1	1	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	18	15	20	10	12	9	4	3	3	237	345	264	31	103	166
340	1	2	2	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	11	1	4	13	1	0	0	1	0	0	0
341	6	3	3	0	1	1	0	0	0	8	5	12	0	0	0	0	0	0	0	0	0	4	1	2	0	0	0	0	1	3	11	10	13	76	67	41	0	0	0	0	1	0
