GeneId	Sample107	Sample108	Sample109	Sample110	Sample111	Sample112	Sample115	Sample116	Sample117	Sample118	Sample119	Sample120	Sample134	Sample135	Sample136	Sample143	Sample144	Sample145	
gi|1008899440|gb|AMR31105.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.93616	0	0
gi|1008899441|gb|AMR31106.1|	0	0	0	0	0	0	0	0	0	2.01048	0	0	0	0	0	0	0	0
gi|1008899449|gb|AMR31114.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.61591	0
gi|1008899457|gb|AMR31122.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.76934	0
gi|1008899479|gb|AMR31144.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.73632	0	0
gi|1008899584|gb|AMR31249.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.76934	0
gi|1008899692|gb|AMR31357.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.90155	0
gi|1008899740|gb|AMR31405.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.94822
gi|1008899741|gb|AMR31406.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.66926	0
gi|1008899748|gb|AMR31413.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.98398	0	0
gi|1008899762|gb|AMR31427.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.98398	0	0
gi|1008899769|gb|AMR31434.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.39456
gi|1008899789|gb|AMR31454.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.79555
gi|1008900040|gb|AMR31705.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.94822
gi|1008900047|gb|AMR31712.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.76934	0
gi|1008900098|gb|AMR31763.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.61591	0
gi|1008900197|gb|AMR31862.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.90155	0
gi|1008900321|gb|AMR31986.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.79555
gi|1008900437|gb|AMR32102.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.90155	0
gi|1008900516|gb|AMR32181.1|	0	0	0	0	0	0	0	0	0	0	3.19714	0	0	0	0	0	0	0
gi|1008900528|gb|AMR32193.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.26606	0
gi|1008900587|gb|AMR32252.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.60663
gi|1008900589|gb|AMR32254.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.98398	0	0
gi|1008900869|gb|AMR32534.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.60663
gi|1008901217|gb|AMR32882.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.60663
gi|1008901229|gb|AMR32894.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.87783
gi|1008901258|gb|AMR32923.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.93616	0	0
gi|1008901278|gb|AMR32943.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.90155	0
gi|1008901284|gb|AMR32949.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.87783
gi|1008901766|gb|AMR33431.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.98398	0	1.94822
gi|1008902072|gb|AMR33737.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.70454
gi|1008902078|gb|AMR33743.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.98398	0	0
gi|1008902344|gb|AMR34009.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.98398	0	0
gi|1008902654|gb|AMR34319.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.98398	0	0
gi|1008902790|gb|AMR34455.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.80926	0	0
gi|1008902828|gb|AMR34493.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.79555
gi|1008912354|gb|AMR37160.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.80926	11.5522	2.87783
gi|1011006076|ref|WP_061962693.1|	0	68.0959	0	0	0	0	9.06759	0	373.86	18.3964	0	0	0	0	0	0	0	0
gi|1011122839|ref|WP_062044699.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.61591	0
gi|1011149659|ref|WP_062071223.1|	0	0	0	0	96.1495	55.9874	0	0	0	0	207.596	0	262.751	359.779	571.64	0	0	0
gi|1011186046|ref|WP_062106569.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23.131	3.61591	2.87783
gi|1011186048|ref|WP_062106571.1|	0	0	0	0	0	0	0	0	0	0	1209.52	0	0	0	0	0	0	0
gi|1011188732|ref|WP_062109255.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.98398	0	0
gi|1011206738|ref|WP_062126865.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.90155	0
gi|1011283481|ref|WP_062200959.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.93616	28.4449	23.8338
gi|1011295138|ref|WP_062212520.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.90155	0
gi|1011329248|ref|WP_062243492.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.80926	0	0
gi|1011332567|ref|WP_062246785.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.81401	0	0	10.0457
gi|1011368506|ref|WP_062281363.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.96199	0	0
gi|1011380753|ref|WP_062293518.1|	0	0	0	9.23601	0	0	0	0	0	0	0	0	3.71638	11.3775	0	0	7.66926	5.60663
gi|1011380972|ref|WP_062293737.1|	0	0	0	0	0	26.9381	0	0	0	0	0	0	0	0	0	0	0	0
gi|1011385017|ref|WP_062297767.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.79555
gi|1011401049|ref|WP_062313214.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.61591	0
gi|1011503933|ref|WP_062398470.1|	208.586	3.10364	15.9752	0	12.8926	167.112	3.01124	2.13099	51.1803	24.5818	0	0	141.683	0	1505.86	287.26	83.3692	0
gi|1011622984|ref|WP_062473432.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.98398	0	0
gi|1011631231|ref|WP_062481597.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.94822
gi|1011701432|ref|WP_062546576.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.93616	0	0
gi|1011703051|ref|WP_062548195.1|	0	0	0	0	0	0	0	0	0	0	5.48861	0	0	0	0	0	0	0
gi|1011703689|ref|WP_062548833.1|	0	0	0	0	0	0	0	0	0	3.02494	0	0	0	0	0	0	0	0
gi|1011704453|ref|WP_062549597.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.90155	0
gi|1011706076|ref|WP_062551220.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.28189
gi|1011798926|ref|WP_062620452.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.76934	0
gi|1011920268|ref|WP_062731162.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.98398	0	0
gi|1012047149|gb|KYO66265.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.44703	0
gi|1012142615|gb|KYP13215.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.79555
gi|1012144887|gb|KYP15401.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.90155	0
gi|1012307726|gb|AMS26145.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.96199	0	0
gi|1014999031|emb|CZX81685.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.90748	0	0
gi|1015023944|emb|CZU65144.1|	0	0	88.5837	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|1015153383|emb|CZU23421.1|	17.2904	0	0	0	0	32.4665	0	0	0	0	22.5337	27.2234	21.0755	89.446	0	0	0	972.707
gi|1015165637|emb|CZW78027.1|	0	0	0	0	0	0	0	0	0	0	0	0	238.428	0	40.2124	0	0	0
gi|1015168851|emb|CZY67044.1|	0	17.4319	0	0	0	0	1101.88	0	0	0	0	0	0	0	0	0	0	0
gi|1015378714|emb|CZX08571.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.81401	0	0	0
